datetime,query,statistics.volume,statistics.pos_sentiment,statistics.neg_sentiment,group
2019-04-28,al jazeera,439,44.07919999999996,74.30190000000002,%Y-%m-%d
2019-04-29,al jazeera,26,0.1636,4.8683000000000005,%Y-%m-%d
2019-17,al jazeera,13020,1427.9113999999943,3248.2577000000147,%Y-%U
2019,#newsmapfortrump,0,0,0,%Y
2019-16,#newsmapfortrump,0,0,0,%Y-%U
2019-17,#newsmapfortrump,0,0,0,%Y-%U
2019-04,#newsmapfortrump,0,0,0,%Y-%m
2019-04-27,news map for trump,1,0,0.7964,%Y-%m-%d
2019-04-28,news map for trump,1,0,0.8176,%Y-%m-%d
2019,news map for trump,2,0,1.6139999999999999,%Y
2019-16,news map for trump,1,0,0.7964,%Y-%U
2019-17,news map for trump,1,0,0.8176,%Y-%U
2019-04,news map for trump,2,0,1.6139999999999999,%Y-%m
2019-17,fnews m,0,0,0,%Y-%U
2019-04-27,egypt from us,25,8.3961,1.1909,%Y-%m-%d
2019-04-28,egypt from us,69,26.074400000000026,6.720300000000001,%Y-%m-%d
2019-04-29,egypt from us,6,1.5049000000000001,0,%Y-%m-%d
2019-17,egypt from us,75,27.579300000000025,6.720300000000001,%Y-%U
2019-17,al jazeera;al thani,13,0,0,%Y-%U
2019-04-27,#kaczynski,23,0,0.5574,%Y-%m-%d
2019-04-28,#kaczynski,46,1.0846,8.144500000000003,%Y-%m-%d
2019-04-29,#kaczynski,3,0,0,%Y-%m-%d
2019,#kaczynski,72,1.0846,8.701900000000002,%Y
2019-16,#kaczynski,23,0,0.5574,%Y-%U
2019-17,#kaczynski,49,1.0846,8.144500000000003,%Y-%U
2019-04,#kaczynski,72,1.0846,8.701900000000002,%Y-%m
2019-04-27,world cup 2022,27,1.5741999999999998,1.0887,%Y-%m-%d
2019-04-28,world cup 2022,54,4.2308,4.705199999999997,%Y-%m-%d
2019-04-29,world cup 2022,1,0,0,%Y-%m-%d
2019-17,world cup 2022,70,4.972700000000001,5.9606999999999974,%Y-%U
2019-04-27,qatar airways,25,3.3335,3.7436,%Y-%m-%d
2019-04-28,qatar airways,186,67.72469999999988,1.9044,%Y-%m-%d
2019-04-29,qatar airways,3,0,0.1027,%Y-%m-%d
2019-17,qatar airways,208,69.88689999999988,2.1351,%Y-%U
2019,#newsmap,26,0.4767,1.8352,%Y
2019-16,#newsmap,0,0,0,%Y-%U
2019-17,#newsmap,26,0.4767,1.8352,%Y-%U
2019-04,#newsmap,14,0,0,%Y-%m
2019-04-27,trump,244198,47570.54899999595,59814.782600010825,%Y-%m-%d
2019-04-28,trump,545901,97634.86429997414,150150.47210003677,%Y-%m-%d
2019-04-29,trump,66917,13506.387600000266,17651.962699999865,%Y-%m-%d
2019-17,trump,2291431,409600.6183002357,576667.5871000392,%Y-%U
2019-04-27,qata,5,0,1.9956,%Y-%m-%d
2019-04-28,qata,48,3.7841,4.132700000000001,%Y-%m-%d
2019-04-29,qata,15,1.1718,0.5574,%Y-%m-%d
2019-17,qata,424,23.0899,119.14290000000007,%Y-%U
